pid,name,username,status,create_time,cpu_times,memory_info,memory_percent
0,System Idle Process,NT AUTHORITY\SYSTEM,running,1970-01-01 05:30:00,"19705 days, 12:32:51.075108","pmem(rss=8192, vms=61440, num_page_faults=9, peak_wset=8192, wset=8192, peak_paged_pool=0, paged_pool=0, peak_nonpaged_pool=272, nonpaged_pool=272, pagefile=61440, peak_pagefile=61440, private=61440)",4.9520235577664696e-05
4,System,NT AUTHORITY\SYSTEM,running,1970-01-01 05:30:00,"19705 days, 12:32:51.086108","pmem(rss=155648, vms=49152, num_page_faults=377838, peak_wset=16969728, wset=155648, peak_paged_pool=0, paged_pool=0, peak_nonpaged_pool=272, nonpaged_pool=272, pagefile=49152, peak_pagefile=114688, private=49152)",0.0009408844759756291
8,svchost.exe,,running,2023-12-14 12:04:52,5:57:58.105468,"pmem(rss=10104832, vms=3342336, num_page_faults=4283, peak_wset=12812288, wset=10104832, peak_paged_pool=121224, paged_pool=120184, peak_nonpaged_pool=306776, nonpaged_pool=221768, pagefile=3342336, peak_pagefile=4202496, private=3342336)",0.06108321058504939
172,,,stopped,2023-12-14 12:04:39,5:58:11.540250,"pmem(rss=43024384, vms=188416, num_page_faults=104, peak_wset=126976, wset=43024384, peak_paged_pool=9992, paged_pool=8928, peak_nonpaged_pool=408, nonpaged_pool=272, pagefile=188416, peak_pagefile=237568, private=188416)",0.260080277253895
216,Registry,,running,2023-12-14 12:04:39,5:58:11.498817,"pmem(rss=58695680, vms=18944000, num_page_faults=264086, peak_wset=157294592, wset=58695680, peak_paged_pool=552040, paged_pool=427752, peak_nonpaged_pool=25296, nonpaged_pool=20944, pagefile=18944000, peak_pagefile=92770304, private=18944000)",0.35481248791396747
716,smss.exe,,running,2023-12-14 12:04:42,5:58:08.728886,"pmem(rss=1155072, vms=1155072, num_page_faults=1016, peak_wset=1396736, wset=1155072, peak_paged_pool=34056, paged_pool=13720, peak_nonpaged_pool=22520, nonpaged_pool=3904, pagefile=1155072, peak_pagefile=1241088, private=1155072)",0.006982353216450721
884,svchost.exe,,running,2023-12-14 12:04:52,5:57:58.155154,"pmem(rss=14802944, vms=4395008, num_page_faults=25899, peak_wset=15851520, wset=14802944, peak_paged_pool=149984, paged_pool=148560, peak_nonpaged_pool=282264, nonpaged_pool=204440, pagefile=4395008, peak_pagefile=5705728, private=4395008)",0.0894830656888401
920,CodeSetup-stable-0ee08df0cf4527e40edc9aa28f4b5bd38bbff2b2.exe,HAL-9000\PrisonMike,running,2023-12-14 17:33:40,0:29:10.578996,"pmem(rss=13197312, vms=7487488, num_page_faults=5422, peak_wset=16973824, wset=13197312, peak_paged_pool=168896, paged_pool=156768, peak_nonpaged_pool=26704, nonpaged_pool=11752, pagefile=7487488, peak_pagefile=12447744, private=7487488)",0.07977709951561782
1176,csrss.exe,,running,2023-12-14 12:04:48,5:58:02.520842,"pmem(rss=6123520, vms=2609152, num_page_faults=8109, peak_wset=6684672, wset=6123520, peak_paged_pool=334976, paged_pool=306944, peak_nonpaged_pool=37632, nonpaged_pool=34184, pagefile=2609152, peak_pagefile=2969600, private=2609152)",0.03701637609430436
1336,wininit.exe,,running,2023-12-14 12:04:51,5:57:59.842635,"pmem(rss=6533120, vms=1691648, num_page_faults=3446, peak_wset=7954432, wset=6533120, peak_paged_pool=94232, paged_pool=76368, peak_nonpaged_pool=21192, nonpaged_pool=12336, pagefile=1691648, peak_pagefile=2412544, private=1691648)",0.03949238787318759
1408,services.exe,,running,2023-12-14 12:04:51,5:57:59.826012,"pmem(rss=15564800, vms=8130560, num_page_faults=49926, peak_wset=19296256, wset=15564800, peak_paged_pool=292648, paged_pool=241496, peak_nonpaged_pool=82032, nonpaged_pool=18128, pagefile=8130560, peak_pagefile=11874304, private=8130560)",0.09408844759756292
1428,LsaIso.exe,,running,2023-12-14 12:04:51,5:57:59.822563,"pmem(rss=3145728, vms=1249280, num_page_faults=1922, peak_wset=3956736, wset=3145728, peak_paged_pool=55816, paged_pool=28816, peak_nonpaged_pool=7608, nonpaged_pool=7472, pagefile=1249280, peak_pagefile=1380352, private=1249280)",0.01901577046182324
1444,lsass.exe,,running,2023-12-14 12:04:51,5:57:59.835085,"pmem(rss=29401088, vms=14548992, num_page_faults=50487, peak_wset=31256576, wset=29401088, peak_paged_pool=411576, paged_pool=239592, peak_nonpaged_pool=287040, nonpaged_pool=32832, pagefile=14548992, peak_pagefile=15147008, private=14548992)",0.17772812548823858
1456,svchost.exe,,running,2023-12-14 12:04:52,5:57:58.251797,"pmem(rss=16044032, vms=5804032, num_page_faults=120817, peak_wset=17649664, wset=16044032, peak_paged_pool=126384, paged_pool=118040, peak_nonpaged_pool=296864, nonpaged_pool=145312, pagefile=5804032, peak_pagefile=6606848, private=5804032)",0.09698538137885629
1564,svchost.exe,,running,2023-12-14 12:04:51,5:57:59.763559,"pmem(rss=38105088, vms=19054592, num_page_faults=86952, peak_wset=43282432, wset=38105088, peak_paged_pool=814312, paged_pool=798448, peak_nonpaged_pool=104040, nonpaged_pool=35840, pagefile=19054592, peak_pagefile=23465984, private=19054592)",0.2303433757895073
1588,msedgewebview2.exe,HAL-9000\PrisonMike,running,2023-12-14 14:23:31,3:39:19.937941,"pmem(rss=2162688, vms=115462144, num_page_faults=729156, peak_wset=214949888, wset=2162688, peak_paged_pool=1053704, paged_pool=759552, peak_nonpaged_pool=544744, nonpaged_pool=27832, pagefile=115462144, peak_pagefile=189374464, private=115462144)",0.013073342192503477
1592,fontdrvhost.exe,,running,2023-12-14 12:04:51,5:57:59.780441,"pmem(rss=2945024, vms=1974272, num_page_faults=1379, peak_wset=4681728, wset=2945024, peak_paged_pool=43680, paged_pool=43408, peak_nonpaged_pool=8576, nonpaged_pool=7064, pagefile=1974272, peak_pagefile=2138112, private=1974272)",0.017802524690170456
1660,WUDFHost.exe,,running,2023-12-14 12:04:51,5:57:59.770737,"pmem(rss=6766592, vms=6303744, num_page_faults=4085, peak_wset=9617408, wset=6766592, peak_paged_pool=81800, paged_pool=81528, peak_nonpaged_pool=15424, nonpaged_pool=11592, pagefile=6303744, peak_pagefile=6987776, private=6303744)",0.04090371458715104
1668,svchost.exe,,running,2023-12-14 12:04:51,5:57:59.781778,"pmem(rss=19214336, vms=12070912, num_page_faults=309300, peak_wset=20316160, wset=19214336, peak_paged_pool=338384, paged_pool=205728, peak_nonpaged_pool=34816, nonpaged_pool=22176, pagefile=12070912, peak_pagefile=12963840, private=12070912)",0.11614971254741253
