window,time
script.py - ttracker - Visual Studio Code,2023-12-14 20:00:15
Search,2023-12-14 20:00:21
script.py - ttracker - Visual Studio Code,2023-12-14 20:00:22
Visual Studio Code,2023-12-14 20:00:41
script.py - ttracker - Visual Studio Code,2023-12-14 20:00:42
Extension: autoSave - ttracker - Visual Studio Code,2023-12-14 20:00:54
Extension: Auto-Save on Window Change - ttracker - Visual Studio Code,2023-12-14 20:00:57
ChatGPT - Google Chrome,2023-12-14 20:01:06
Toby - Google Chrome,2023-12-14 20:01:07
vs code autosave - Google Search - Google Chrome,2023-12-14 20:01:12
Task Switching,2023-12-14 20:01:14
Extension: Auto-Save on Window Change - ttracker - Visual Studio Code,2023-12-14 20:01:15
script.py - ttracker - Visual Studio Code,2023-12-14 20:01:26
reader.py - ttracker - Visual Studio Code,2023-12-14 20:01:27
window2.csv - ttracker - Visual Studio Code,2023-12-14 20:01:45
reader.py - ttracker - Visual Studio Code,2023-12-14 20:01:59
vs code autosave - Google Search - Google Chrome,2023-12-14 20:02:35
Toby - Google Chrome,2023-12-14 20:02:36
python hashmap vs dictionary - Google Search - Google Chrome,2023-12-14 20:02:42
python dictionary - Google Search - Google Chrome,2023-12-14 20:02:53
Python Dictionary - GeeksforGeeks - Google Chrome,2023-12-14 20:02:59
reader.py - ttracker - Visual Studio Code,2023-12-14 20:03:00
Search,2023-12-14 20:03:01
WhatsApp,2023-12-14 20:03:02
Python Dictionary - GeeksforGeeks - Google Chrome,2023-12-14 20:03:06
reader.py - ttracker - Visual Studio Code,2023-12-14 20:03:30
Python Dictionary - GeeksforGeeks - Google Chrome,2023-12-14 20:03:42
reader.py - ttracker - Visual Studio Code,2023-12-14 20:03:51
,2023-12-14 20:04:36
Python Dictionary - GeeksforGeeks - Google Chrome,2023-12-14 20:04:37
reader.py - ttracker - Visual Studio Code,2023-12-14 20:04:39
Python Dictionary - GeeksforGeeks - Google Chrome,2023-12-14 20:05:36
Toby - Google Chrome,2023-12-14 20:05:37
datetime.timedelta sum - Google Search - Google Chrome,2023-12-14 20:05:42
datetime - How to get the sum of timedelta in Python? - Stack Overflow - Google Chrome,2023-12-14 20:05:44
reader.py - ttracker - Visual Studio Code,2023-12-14 20:06:02
Search,2023-12-14 20:06:44
reader.py - ttracker - Visual Studio Code,2023-12-14 20:06:45
datetime - How to get the sum of timedelta in Python? - Stack Overflow - Google Chrome,2023-12-14 20:06:46
reader.py - ttracker - Visual Studio Code,2023-12-14 20:06:47
window2.csv - ttracker - Visual Studio Code,2023-12-14 20:08:11
reader.py - ttracker - Visual Studio Code,2023-12-14 20:08:18
window2.csv - ttracker - Visual Studio Code,2023-12-14 20:08:23
Search,2023-12-14 20:08:34
window2.csv - ttracker - Visual Studio Code,2023-12-14 20:08:36
PowerToys.PowerLauncher,2023-12-14 20:08:43
window2.csv - ttracker - Visual Studio Code,2023-12-14 20:08:44
Search,2023-12-14 20:08:46
window2.csv - ttracker - Visual Studio Code,2023-12-14 20:08:56
reader.py - ttracker - Visual Studio Code,2023-12-14 20:09:15
datetime - How to get the sum of timedelta in Python? - Stack Overflow - Google Chrome,2023-12-14 20:09:17
Toby - Google Chrome,2023-12-14 20:09:18
string trim python - Google Search - Google Chrome,2023-12-14 20:09:26
datetime - How to get the sum of timedelta in Python? - Stack Overflow - Google Chrome,2023-12-14 20:09:32
reader.py - ttracker - Visual Studio Code,2023-12-14 20:09:33
window.csv - ttracker - Visual Studio Code,2023-12-14 20:09:56
window2.csv - ttracker - Visual Studio Code,2023-12-14 20:09:58
reader.py - ttracker - Visual Studio Code,2023-12-14 20:10:05
datetime - How to get the sum of timedelta in Python? - Stack Overflow - Google Chrome,2023-12-14 20:11:20
Toby - Google Chrome,2023-12-14 20:11:21
if and python - Google Search - Google Chrome,2023-12-14 20:11:25
Python Conditions - Google Chrome,2023-12-14 20:11:28
reader.py - ttracker - Visual Studio Code,2023-12-14 20:11:39
datetime - How to get the sum of timedelta in Python? - Stack Overflow - Google Chrome,2023-12-14 20:11:58
vs code autosave - Google Search - Google Chrome,2023-12-14 20:11:59
Python String Methods - GeeksforGeeks - Google Chrome,2023-12-14 20:12:00
ChatGPT - Google Chrome,2023-12-14 20:12:01
reader.py - ttracker - Visual Studio Code,2023-12-14 20:12:04
ChatGPT - Google Chrome,2023-12-14 20:12:06
reader.py - ttracker - Visual Studio Code,2023-12-14 20:12:25
ChatGPT - Google Chrome,2023-12-14 20:12:51
,2023-12-14 20:12:55
reader.py - ttracker - Visual Studio Code,2023-12-14 20:12:56
Search,2023-12-14 20:14:17
Command Prompt,2023-12-14 20:14:18
reader.py - ttracker - Visual Studio Code,2023-12-14 20:14:22
Command Prompt,2023-12-14 20:14:30
reader.py - ttracker - Visual Studio Code,2023-12-14 20:14:32
Command Prompt,2023-12-14 20:14:34
Command Prompt - python  reader.py,2023-12-14 20:14:38
Task Switching,2023-12-14 20:14:44
Toby - Google Chrome,2023-12-14 20:14:45
ChatGPT - Google Chrome,2023-12-14 20:14:47
Toby - Google Chrome,2023-12-14 20:14:48
python terminal print live update - Google Search - Google Chrome,2023-12-14 20:15:00
datetime - How to get the sum of timedelta in Python? - Stack Overflow - Google Chrome,2023-12-14 20:15:03
Dynamic terminal printing with python - Stack Overflow - Google Chrome,2023-12-14 20:15:04
Command Prompt - python  reader.py,2023-12-14 20:15:26
reader.py - ttracker - Visual Studio Code,2023-12-14 20:15:27
Dynamic terminal printing with python - Stack Overflow - Google Chrome,2023-12-14 20:15:34
reader.py - ttracker - Visual Studio Code,2023-12-14 20:15:35
Dynamic terminal printing with python - Stack Overflow - Google Chrome,2023-12-14 20:15:36
reader.py - ttracker - Visual Studio Code,2023-12-14 20:16:05
Dynamic terminal printing with python - Stack Overflow - Google Chrome,2023-12-14 20:16:07
ChatGPT - Google Chrome,2023-12-14 20:16:08
reader.py - ttracker - Visual Studio Code,2023-12-14 20:16:45
ChatGPT - Google Chrome,2023-12-14 20:16:56
reader.py - ttracker - Visual Studio Code,2023-12-14 20:16:58
